	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4444	0.2927	0.3529	0.2143	56.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	4.0
DRINKS#QUALITY	0.5556	0.625	0.5882	0.4167	12.0
DRINKS#STYLE_OPTIONS	0.3333	0.25	0.2857	0.1667	6.0
FOOD#PRICES	0.375	0.2308	0.2857	0.1667	18.0
FOOD#QUALITY	0.6205	0.7055	0.6603	0.4928	209.0
FOOD#STYLE_OPTIONS	0.1471	0.2174	0.1754	0.0962	52.0
LOCATION#GENERAL	0.1071	0.75	0.1875	0.1034	29.0
RESTAURANT#GENERAL	0.3802	0.6571	0.4817	0.3172	145.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	25.0
RESTAURANT#PRICES	0.1818	0.2857	0.2222	0.125	32.0
SERVICE#GENERAL	0.6125	0.6447	0.6282	0.4579	107.0
Micro-AVG	0.4538	0.554	0.4989	0.3324	695.0
Macro-AVG	0.3131	0.3882	0.3223		695
