epoch	precision	recall	f1
1	0.2222	0.0126	0.0239
2	0.6667	0.0084	0.0166
3	0.5786	0.3634	0.4465
4	0.6235	0.5357	0.5763
5	0.6210	0.4853	0.5448
6	0.6040	0.6282	0.6159
7	0.6256	0.5546	0.5880
8	0.6715	0.4853	0.5634
9	0.6640	0.5231	0.5852
10	0.6624	0.5483	0.6000
11	0.6925	0.5063	0.5850
12	0.6705	0.4874	0.5645
13	0.6471	0.5546	0.5973
14	0.6626	0.5651	0.6100
15	0.6541	0.5084	0.5721
16	0.6393	0.5882	0.6127
17	0.6651	0.5798	0.6195
18	0.6925	0.5630	0.6211
19	0.7050	0.5672	0.6286
20	0.6790	0.5378	0.6002
21	0.6533	0.5462	0.5950
22	0.6650	0.5504	0.6023
23	0.6726	0.5525	0.6067
24	0.6770	0.5504	0.6072
