epoch	precision	recall	f1
1	0.4911	0.3796	0.4283
2	0.6556	0.5029	0.5692
3	0.6693	0.6732	0.6712
4	0.7552	0.5734	0.6518
5	0.7551	0.5851	0.6593
6	0.7215	0.6947	0.7079
7	0.7598	0.6438	0.6970
8	0.7092	0.7065	0.7078
9	0.7465	0.6223	0.6788
10	0.7044	0.6575	0.6802
11	0.7211	0.6830	0.7015
12	0.7373	0.6536	0.6929
13	0.7549	0.6810	0.7160
14	0.7452	0.6869	0.7149
15	0.7233	0.6497	0.6845
16	0.7240	0.7084	0.7161
17	0.7511	0.6732	0.7100
18	0.7629	0.6360	0.6937
19	0.7284	0.6771	0.7018
20	0.7364	0.6614	0.6969
21	0.7448	0.6967	0.7199
22	0.7241	0.6830	0.7029
23	0.7648	0.6810	0.7205
24	0.7478	0.6791	0.7118
25	0.7468	0.6751	0.7091
26	0.7608	0.6908	0.7241
27	0.7548	0.6928	0.7224
28	0.7677	0.6986	0.7316
29	0.7652	0.6888	0.7250
30	0.7580	0.6986	0.7271
