epoch	precision	recall	f1
1	0.3125	0.0129	0.0248
2	0.6159	0.2610	0.3666
3	0.5844	0.5995	0.5918
4	0.6264	0.4419	0.5182
5	0.7702	0.4677	0.5820
6	0.6686	0.5943	0.6293
7	0.6771	0.5581	0.6119
8	0.7026	0.6227	0.6603
9	0.6455	0.6305	0.6379
10	0.7250	0.5995	0.6563
11	0.7508	0.6227	0.6808
12	0.7043	0.6279	0.6639
13	0.7143	0.6072	0.6564
14	0.7517	0.5788	0.6540
15	0.7354	0.6176	0.6713
16	0.7484	0.5917	0.6609
17	0.7453	0.6124	0.6723
18	0.7621	0.6124	0.6791
19	0.6882	0.6331	0.6595
20	0.7461	0.6227	0.6789
21	0.7188	0.6408	0.6776
22	0.7172	0.6357	0.6740
