epoch	precision	recall	f1
1	0.4438	0.2033	0.2788
2	0.6698	0.3848	0.4888
3	0.7012	0.6423	0.6704
4	0.6904	0.5257	0.5969
5	0.7415	0.5908	0.6576
6	0.7014	0.6558	0.6779
7	0.7249	0.6640	0.6931
8	0.7215	0.6179	0.6657
9	0.6947	0.6721	0.6832
10	0.7203	0.6911	0.7054
11	0.7599	0.5745	0.6543
12	0.7476	0.6341	0.6862
13	0.7273	0.7154	0.7213
14	0.7649	0.6612	0.7093
15	0.7515	0.6802	0.7141
16	0.7448	0.6802	0.7110
17	0.7462	0.6694	0.7057
18	0.7540	0.6396	0.6921
19	0.7378	0.6938	0.7151
20	0.6866	0.6829	0.6848
21	0.7478	0.6829	0.7139
22	0.7316	0.6721	0.7006
23	0.7434	0.6911	0.7163
24	0.7376	0.6856	0.7107
25	0.7530	0.6775	0.7133
26	0.7442	0.6938	0.7181
27	0.7493	0.6965	0.7219
