	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.8913515	0.8416906000000002	0.8651	0.913805	0.8024	0.8747075	True	989562.5	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.8913515	0.8730652	0.8651	0.913805	0.837885	0.9039025	True	804730.0	0.0	0.0	True
2	0.0003_32_32	0.0003_8_8	0.8913515	0.8856855	0.8651	0.913805	0.85	0.9168	True	596396.0	0.0	0.0	True
3	0.0003_32_32	3e-05_32_32	0.8913515	0.8988629000000001	0.8651	0.913805	0.8598875	0.9285025	True	353294.5	0.0	0.0	True
4	0.0003_32_32	3e-05_32_64	0.8913515	0.8978157	0.8651	0.913805	0.8744975	0.9217025	True	362700.5	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.8913515	0.8977849000000001	0.8651	0.913805	0.860495	0.9285025	True	375792.5	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.8913515	0.8944829	0.8651	0.913805	0.8543825	0.9237075	True	421103.5	0.0	0.0	True
7	0.0003_32_64	0.0003_8_16	0.8416906000000002	0.8730652	0.8024	0.8747075	0.837885	0.9039025	True	105091.0	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.8416906000000002	0.8856855	0.8024	0.8747075	0.85	0.9168	True	41446.5	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.8416906000000002	0.8988629000000001	0.8024	0.8747075	0.8598875	0.9285025	True	14593.0	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.8416906000000002	0.8978157	0.8024	0.8747075	0.8744975	0.9217025	True	2553.0	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.8416906000000002	0.8977849000000001	0.8024	0.8747075	0.860495	0.9285025	True	13414.5	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.8416906000000002	0.8944829	0.8024	0.8747075	0.8543825	0.9237075	True	23274.0	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.8730652	0.8856855	0.837885	0.9039025	0.85	0.9168	True	300939.5	0.0	0.0	True
14	0.0003_8_16	3e-05_32_32	0.8730652	0.8988629000000001	0.837885	0.9039025	0.8598875	0.9285025	True	150140.0	0.0	0.0	True
15	0.0003_8_16	3e-05_32_64	0.8730652	0.8978157	0.837885	0.9039025	0.8744975	0.9217025	True	116387.0	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.8730652	0.8977849000000001	0.837885	0.9039025	0.860495	0.9285025	True	156976.5	0.0	0.0	True
17	0.0003_8_16	3e-05_8_8	0.8730652	0.8944829	0.837885	0.9039025	0.8543825	0.9237075	True	186656.0	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.8856855	0.8988629000000001	0.85	0.9168	0.8598875	0.9285025	True	295832.0	0.0	0.0	True
19	0.0003_8_8	3e-05_32_64	0.8856855	0.8978157	0.85	0.9168	0.8744975	0.9217025	True	292173.0	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.8856855	0.8977849000000001	0.85	0.9168	0.860495	0.9285025	True	311869.5	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.8856855	0.8944829	0.85	0.9168	0.8543825	0.9237075	True	352158.5	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.8988629000000001	0.8978157	0.8598875	0.9285025	0.8744975	0.9217025	True	539847.0	0.00203	0.00812	True
23	3e-05_32_32	3e-05_8_16	0.8988629000000001	0.8977849000000001	0.8598875	0.9285025	0.860495	0.9285025	True	521577.0	0.094742	0.189484	False
24	3e-05_32_32	3e-05_8_8	0.8988629000000001	0.8944829	0.8598875	0.9285025	0.8543825	0.9237075	True	569839.5	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.8978157	0.8977849000000001	0.8744975	0.9217025	0.860495	0.9285025	True	486645.0	0.301052	0.301052	False
26	3e-05_32_64	3e-05_8_8	0.8978157	0.8944829	0.8744975	0.9217025	0.8543825	0.9237075	True	538406.0	0.002938	0.008814	True
27	3e-05_8_16	3e-05_8_8	0.8977849000000001	0.8944829	0.860495	0.9285025	0.8543825	0.9237075	True	547654.0	0.000224	0.00112	True
