	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.8817106	0.8646541999999999	0.8558975	0.9052025	0.8360974999999999	0.8914025	True	816031.5	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.8817106	0.8826423	0.8558975	0.9052025	0.8430449999999999	0.9141	True	465823.5	0.00813	0.0813	False
2	0.0003_32_32	0.0003_8_8	0.8817106	0.8796687000000001	0.8558975	0.9052025	0.841985	0.9108	True	522482.0	0.081687	0.412636	False
3	0.0003_32_32	3e-05_32_32	0.8817106	0.8810627	0.8558975	0.9052025	0.840595	0.9104025	True	492587.0	0.565948	1.0	False
4	0.0003_32_32	3e-05_32_64	0.8817106	0.8734633	0.8558975	0.9052025	0.8342875000000001	0.9069025000000001	True	630262.5	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.8817106	0.8779916	0.8558975	0.9052025	0.8392975	0.9094025	True	557901.5	7e-06	9.8e-05	True
6	0.0003_32_32	3e-05_8_8	0.8817106	0.8808257	0.8558975	0.9052025	0.844785	0.9142125	True	507667.5	0.552688	1.0	False
7	0.0003_32_64	0.0003_8_16	0.8646541999999999	0.8826423	0.8360974999999999	0.8914025	0.8430449999999999	0.9141	True	211667.0	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.8646541999999999	0.8796687000000001	0.8360974999999999	0.8914025	0.841985	0.9108	True	251544.0	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.8646541999999999	0.8810627	0.8360974999999999	0.8914025	0.840595	0.9104025	True	230166.5	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.8646541999999999	0.8734633	0.8360974999999999	0.8914025	0.8342875000000001	0.9069025000000001	True	347391.0	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.8646541999999999	0.8779916	0.8360974999999999	0.8914025	0.8392975	0.9094025	True	275134.0	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.8646541999999999	0.8808257	0.8360974999999999	0.8914025	0.844785	0.9142125	True	238063.0	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.8826423	0.8796687000000001	0.8430449999999999	0.9141	0.841985	0.9108	True	547734.5	0.000219	0.002628	True
14	0.0003_8_16	3e-05_32_32	0.8826423	0.8810627	0.8430449999999999	0.9141	0.840595	0.9104025	True	524218.0	0.060735	0.412636	False
15	0.0003_8_16	3e-05_32_64	0.8826423	0.8734633	0.8430449999999999	0.9141	0.8342875000000001	0.9069025000000001	True	638512.5	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.8826423	0.8779916	0.8430449999999999	0.9141	0.8392975	0.9094025	True	577123.5	0.0	0.0	True
17	0.0003_8_16	3e-05_8_8	0.8826423	0.8808257	0.8430449999999999	0.9141	0.844785	0.9142125	True	533800.5	0.008858	0.0813	False
18	0.0003_8_8	3e-05_32_32	0.8796687000000001	0.8810627	0.841985	0.9108	0.840595	0.9104025	True	475612.0	0.058948	0.412636	False
19	0.0003_8_8	3e-05_32_64	0.8796687000000001	0.8734633	0.841985	0.9108	0.8342875000000001	0.9069025000000001	True	593899.5	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.8796687000000001	0.8779916	0.841985	0.9108	0.8392975	0.9094025	True	529254.5	0.023485	0.18788	False
21	0.0003_8_8	3e-05_8_8	0.8796687000000001	0.8808257	0.841985	0.9108	0.844785	0.9142125	True	485847.5	0.273106	1.0	False
22	3e-05_32_32	3e-05_32_64	0.8810627	0.8734633	0.840595	0.9104025	0.8342875000000001	0.9069025000000001	True	617177.0	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.8810627	0.8779916	0.840595	0.9104025	0.8392975	0.9094025	True	554056.5	2.8e-05	0.000364	True
24	3e-05_32_32	3e-05_8_8	0.8810627	0.8808257	0.840595	0.9104025	0.844785	0.9142125	True	510382.5	0.421404	1.0	False
25	3e-05_32_64	3e-05_8_16	0.8734633	0.8779916	0.8342875000000001	0.9069025000000001	0.8392975	0.9094025	True	433674.0	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.8734633	0.8808257	0.8342875000000001	0.9069025000000001	0.844785	0.9142125	True	392665.0	0.0	0.0	True
27	3e-05_8_16	3e-05_8_8	0.8779916	0.8808257	0.8392975	0.9094025	0.844785	0.9142125	True	456553.5	0.000767	0.008437	True
