	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.8282912999999998	0.8012537	0.782195	0.8738075	0.75478	0.849615	True	780142.0	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.8282912999999998	0.8962394	0.782195	0.8738075	0.860185	0.9318025	True	10115.5	0.0	0.0	True
2	0.0003_32_32	0.0003_8_8	0.8282912999999998	0.8959455000000001	0.782195	0.8738075	0.8578	0.9303125	True	12818.0	0.0	0.0	True
3	0.0003_32_32	3e-05_32_32	0.8282912999999998	0.8835354999999999	0.782195	0.8738075	0.8450725	0.917	True	32649.5	0.0	0.0	True
4	0.0003_32_32	3e-05_32_64	0.8282912999999998	0.8908272999999999	0.782195	0.8738075	0.858855	0.9220175	True	14447.5	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.8282912999999998	0.8676632	0.782195	0.8738075	0.8278949999999999	0.9050025	True	104326.0	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.8282912999999998	0.8221439999999999	0.782195	0.8738075	0.7085825	0.8976075	True	513613.5	0.291793	0.583586	False
7	0.0003_32_64	0.0003_8_16	0.8012537	0.8962394	0.75478	0.849615	0.860185	0.9318025	True	580.0	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.8012537	0.8959455000000001	0.75478	0.849615	0.8578	0.9303125	True	1025.5	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.8012537	0.8835354999999999	0.75478	0.849615	0.8450725	0.917	True	3907.5	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.8012537	0.8908272999999999	0.75478	0.849615	0.858855	0.9220175	True	999.0	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.8012537	0.8676632	0.75478	0.849615	0.8278949999999999	0.9050025	True	19455.5	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.8012537	0.8221439999999999	0.75478	0.849615	0.7085825	0.8976075	True	343241.0	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.8962394	0.8959455000000001	0.860185	0.9318025	0.8578	0.9303125	True	497524.0	0.847974	0.847974	False
14	0.0003_8_16	3e-05_32_32	0.8962394	0.8835354999999999	0.860185	0.9318025	0.8450725	0.917	True	689869.0	0.0	0.0	True
15	0.0003_8_16	3e-05_32_64	0.8962394	0.8908272999999999	0.860185	0.9318025	0.858855	0.9220175	True	585781.5	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.8962394	0.8676632	0.860185	0.9318025	0.8278949999999999	0.9050025	True	857389.5	0.0	0.0	True
17	0.0003_8_16	3e-05_8_8	0.8962394	0.8221439999999999	0.860185	0.9318025	0.7085825	0.8976075	True	931381.0	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.8959455000000001	0.8835354999999999	0.8578	0.9303125	0.8450725	0.917	True	686302.0	0.0	0.0	True
19	0.0003_8_8	3e-05_32_64	0.8959455000000001	0.8908272999999999	0.8578	0.9303125	0.858855	0.9220175	True	585960.0	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.8959455000000001	0.8676632	0.8578	0.9303125	0.8278949999999999	0.9050025	True	849343.0	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.8959455000000001	0.8221439999999999	0.8578	0.9303125	0.7085825	0.8976075	True	928296.5	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.8835354999999999	0.8908272999999999	0.8450725	0.917	0.858855	0.9220175	True	385311.0	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.8835354999999999	0.8676632	0.8450725	0.917	0.8278949999999999	0.9050025	True	722449.0	0.0	0.0	True
24	3e-05_32_32	3e-05_8_8	0.8835354999999999	0.8221439999999999	0.8450725	0.917	0.7085825	0.8976075	True	867687.5	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.8908272999999999	0.8676632	0.858855	0.9220175	0.8278949999999999	0.9050025	True	812525.5	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.8908272999999999	0.8221439999999999	0.858855	0.9220175	0.7085825	0.8976075	True	909600.5	0.0	0.0	True
27	3e-05_8_16	3e-05_8_8	0.8676632	0.8221439999999999	0.8278949999999999	0.9050025	0.7085825	0.8976075	True	768046.0	0.0	0.0	True
