	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.8495657	0.7938215000000001	0.8035875	0.891105	0.7519975	0.8297275	True	968810.0	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.8495657	0.8573674	0.8035875	0.891105	0.819195	0.8889125	True	391112.0	0.0	0.0	True
2	0.0003_32_32	0.0003_8_8	0.8495657	0.8550323999999999	0.8035875	0.891105	0.8175	0.8907	True	426381.5	0.0	0.0	True
3	0.0003_32_32	3e-05_32_32	0.8495657	0.8318666	0.8035875	0.891105	0.7898925	0.869005	True	724068.0	0.0	0.0	True
4	0.0003_32_32	3e-05_32_64	0.8495657	0.8426083000000001	0.8035875	0.891105	0.80259	0.8774	True	597662.0	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.8495657	0.8376484000000001	0.8035875	0.891105	0.7976749999999999	0.874205	True	660883.5	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.8495657	0.8429565	0.8035875	0.891105	0.8006825	0.8788025	True	593183.0	0.0	0.0	True
7	0.0003_32_64	0.0003_8_16	0.7938215000000001	0.8573674	0.7519975	0.8297275	0.819195	0.8889125	True	9805.0	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.7938215000000001	0.8550323999999999	0.7519975	0.8297275	0.8175	0.8907	True	14140.5	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.7938215000000001	0.8318666	0.7519975	0.8297275	0.7898925	0.869005	True	96828.0	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.7938215000000001	0.8426083000000001	0.7519975	0.8297275	0.80259	0.8774	True	41890.0	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.7938215000000001	0.8376484000000001	0.7519975	0.8297275	0.7976749999999999	0.874205	True	62897.5	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.7938215000000001	0.8429565	0.7519975	0.8297275	0.8006825	0.8788025	True	41153.0	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.8573674	0.8550323999999999	0.819195	0.8889125	0.8175	0.8907	True	535440.5	0.00606	0.01212	True
14	0.0003_8_16	3e-05_32_32	0.8573674	0.8318666	0.819195	0.8889125	0.7898925	0.869005	True	819661.5	0.0	0.0	True
15	0.0003_8_16	3e-05_32_64	0.8573674	0.8426083000000001	0.819195	0.8889125	0.80259	0.8774	True	709049.5	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.8573674	0.8376484000000001	0.819195	0.8889125	0.7976749999999999	0.874205	True	764666.0	0.0	0.0	True
17	0.0003_8_16	3e-05_8_8	0.8573674	0.8429565	0.819195	0.8889125	0.8006825	0.8788025	True	703754.0	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.8550323999999999	0.8318666	0.8175	0.8907	0.7898925	0.869005	True	789992.5	0.0	0.0	True
19	0.0003_8_8	3e-05_32_64	0.8550323999999999	0.8426083000000001	0.8175	0.8907	0.80259	0.8774	True	672709.0	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.8550323999999999	0.8376484000000001	0.8175	0.8907	0.7976749999999999	0.874205	True	731433.5	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.8550323999999999	0.8429565	0.8175	0.8907	0.8006825	0.8788025	True	668039.5	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.8318666	0.8426083000000001	0.7898925	0.869005	0.80259	0.8774	True	354169.5	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.8318666	0.8376484000000001	0.7898925	0.869005	0.7976749999999999	0.874205	True	424310.0	0.0	0.0	True
24	3e-05_32_32	3e-05_8_8	0.8318666	0.8429565	0.7898925	0.869005	0.8006825	0.8788025	True	351789.5	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.8426083000000001	0.8376484000000001	0.80259	0.8774	0.7976749999999999	0.874205	True	573175.0	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.8426083000000001	0.8429565	0.80259	0.8774	0.8006825	0.8788025	True	496543.5	0.788981	0.788981	False
27	3e-05_8_16	3e-05_8_8	0.8376484000000001	0.8429565	0.7976749999999999	0.874205	0.8006825	0.8788025	True	424386.0	0.0	0.0	True
