	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.7976402	0.7592083000000001	0.7461949999999999	0.84431	0.7093975	0.8100050000000001	True	856133.0	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.7976402	0.7855165999999999	0.7461949999999999	0.84431	0.7308875	0.8344075	True	626540.0	0.0	0.0	True
2	0.0003_32_32	0.0003_8_8	0.7976402	0.8062804000000001	0.7461949999999999	0.84431	0.7579925	0.850905	True	402688.0	0.0	0.0	True
3	0.0003_32_32	3e-05_32_32	0.7976402	0.786993	0.7461949999999999	0.84431	0.7456675	0.8291099999999999	True	626640.0	0.0	0.0	True
4	0.0003_32_32	3e-05_32_64	0.7976402	0.8325617	0.7461949999999999	0.84431	0.7883	0.8752025	True	143967.5	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.7976402	0.7909702000000001	0.7461949999999999	0.84431	0.745695	0.8337175	True	581612.5	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.7976402	0.7614126	0.7461949999999999	0.84431	0.69508	0.81861	True	815433.0	0.0	0.0	True
7	0.0003_32_64	0.0003_8_16	0.7592083000000001	0.7855165999999999	0.7093975	0.8100050000000001	0.7308875	0.8344075	True	236908.0	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.7592083000000001	0.8062804000000001	0.7093975	0.8100050000000001	0.7579925	0.850905	True	94624.5	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.7592083000000001	0.786993	0.7093975	0.8100050000000001	0.7456675	0.8291099999999999	True	206841.5	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.7592083000000001	0.8325617	0.7093975	0.8100050000000001	0.7883	0.8752025	True	15133.0	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.7592083000000001	0.7909702000000001	0.7093975	0.8100050000000001	0.745695	0.8337175	True	173946.5	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.7592083000000001	0.7614126	0.7093975	0.8100050000000001	0.69508	0.81861	True	468112.0	0.013535	0.02707	True
13	0.0003_8_16	0.0003_8_8	0.7855165999999999	0.8062804000000001	0.7308875	0.8344075	0.7579925	0.850905	True	285431.5	0.0	0.0	True
14	0.0003_8_16	3e-05_32_32	0.7855165999999999	0.786993	0.7308875	0.8344075	0.7456675	0.8291099999999999	True	489668.0	0.423666	0.423666	False
15	0.0003_8_16	3e-05_32_64	0.7855165999999999	0.8325617	0.7308875	0.8344075	0.7883	0.8752025	True	81893.0	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.7855165999999999	0.7909702000000001	0.7308875	0.8344075	0.745695	0.8337175	True	442842.5	1e-05	4e-05	True
17	0.0003_8_16	3e-05_8_8	0.7855165999999999	0.7614126	0.7308875	0.8344075	0.69508	0.81861	True	719661.5	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.8062804000000001	0.786993	0.7579925	0.850905	0.7456675	0.8291099999999999	True	721339.5	0.0	0.0	True
19	0.0003_8_8	3e-05_32_64	0.8062804000000001	0.8325617	0.7579925	0.850905	0.7883	0.8752025	True	208721.0	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.8062804000000001	0.7909702000000001	0.7579925	0.850905	0.745695	0.8337175	True	681723.5	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.8062804000000001	0.7614126	0.7579925	0.850905	0.69508	0.81861	True	870470.5	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.786993	0.8325617	0.7456675	0.8291099999999999	0.7883	0.8752025	True	68383.5	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.786993	0.7909702000000001	0.7456675	0.8291099999999999	0.745695	0.8337175	True	447842.5	5.4e-05	0.00016199999999999998	True
24	3e-05_32_32	3e-05_8_8	0.786993	0.7614126	0.7456675	0.8291099999999999	0.69508	0.81861	True	744039.5	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.8325617	0.7909702000000001	0.7883	0.8752025	0.745695	0.8337175	True	914632.5	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.8325617	0.7614126	0.7883	0.8752025	0.69508	0.81861	True	971667.5	0.0	0.0	True
27	3e-05_8_16	3e-05_8_8	0.7909702000000001	0.7614126	0.745695	0.8337175	0.69508	0.81861	True	778762.5	0.0	0.0	True
