	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.7688771000000001	0.7140855	0.6932975	0.8413200000000001	0.6355900000000001	0.7895	True	844998.5	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.7688771000000001	0.7850312	0.6932975	0.8413200000000001	0.7137975	0.8494200000000001	True	373091.0	0.0	0.0	True
2	0.0003_32_32	0.0003_8_8	0.7688771000000001	0.8280253	0.6932975	0.8413200000000001	0.7637725000000001	0.888	True	113770.0	0.0	0.0	True
3	0.0003_32_32	3e-05_32_32	0.7688771000000001	0.7727289	0.6932975	0.8413200000000001	0.7011925	0.8405	True	469447.0	0.017981	0.035962	True
4	0.0003_32_32	3e-05_32_64	0.7688771000000001	0.7842082	0.6932975	0.8413200000000001	0.7181875	0.8452075	True	375283.5	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.7688771000000001	0.7541663999999999	0.6932975	0.8413200000000001	0.6849900000000001	0.821615	True	612682.0	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.7688771000000001	0.7297319999999999	0.6932975	0.8413200000000001	0.6519875	0.8014	True	769161.0	0.0	0.0	True
7	0.0003_32_64	0.0003_8_16	0.7140855	0.7850312	0.6355900000000001	0.7895	0.7137975	0.8494200000000001	True	88938.5	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.7140855	0.8280253	0.6355900000000001	0.7895	0.7637725000000001	0.888	True	11947.5	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.7140855	0.7727289	0.6355900000000001	0.7895	0.7011925	0.8405	True	135892.0	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.7140855	0.7842082	0.6355900000000001	0.7895	0.7181875	0.8452075	True	86767.0	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.7140855	0.7541663999999999	0.6355900000000001	0.7895	0.6849900000000001	0.821615	True	224288.5	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.7140855	0.7297319999999999	0.6355900000000001	0.7895	0.6519875	0.8014	True	384585.0	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.7850312	0.8280253	0.7137975	0.8494200000000001	0.7637725000000001	0.888	True	182752.5	0.0	0.0	True
14	0.0003_8_16	3e-05_32_32	0.7850312	0.7727289	0.7137975	0.8494200000000001	0.7011925	0.8405	True	598410.0	0.0	0.0	True
15	0.0003_8_16	3e-05_32_64	0.7850312	0.7842082	0.7137975	0.8494200000000001	0.7181875	0.8452075	True	505753.5	0.655946	0.655946	False
16	0.0003_8_16	3e-05_8_16	0.7850312	0.7541663999999999	0.7137975	0.8494200000000001	0.6849900000000001	0.821615	True	733639.0	0.0	0.0	True
17	0.0003_8_16	3e-05_8_8	0.7850312	0.7297319999999999	0.7137975	0.8494200000000001	0.6519875	0.8014	True	858385.5	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.8280253	0.7727289	0.7637725000000001	0.888	0.7011925	0.8405	True	874108.0	0.0	0.0	True
19	0.0003_8_8	3e-05_32_64	0.8280253	0.7842082	0.7637725000000001	0.888	0.7181875	0.8452075	True	829167.5	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.8280253	0.7541663999999999	0.7637725000000001	0.888	0.6849900000000001	0.821615	True	939265.5	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.8280253	0.7297319999999999	0.7637725000000001	0.888	0.6519875	0.8014	True	976796.0	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.7727289	0.7842082	0.7011925	0.8405	0.7181875	0.8452075	True	404306.0	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.7727289	0.7541663999999999	0.7011925	0.8405	0.6849900000000001	0.821615	True	643590.0	0.0	0.0	True
24	3e-05_32_32	3e-05_8_8	0.7727289	0.7297319999999999	0.7011925	0.8405	0.6519875	0.8014	True	794162.5	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.7842082	0.7541663999999999	0.7181875	0.8452075	0.6849900000000001	0.821615	True	733771.0	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.7842082	0.7297319999999999	0.7181875	0.8452075	0.6519875	0.8014	True	860624.5	0.0	0.0	True
27	3e-05_8_16	3e-05_8_8	0.7541663999999999	0.7297319999999999	0.6849900000000001	0.821615	0.6519875	0.8014	True	679619.0	0.0	0.0	True
