	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.8009343	0.7626487999999999	0.763385	0.834905	0.7219949999999999	0.8020025000000001	True	908897.5	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.8009343	0.7977571	0.763385	0.834905	0.7605925	0.8337399999999999	True	548116.5	0.000194	0.001164	True
2	0.0003_32_32	0.0003_8_8	0.8009343	0.8172798	0.763385	0.834905	0.781295	0.8522	True	270126.5	0.0	0.0	True
3	0.0003_32_32	3e-05_32_32	0.8009343	0.8176915	0.763385	0.834905	0.7789975	0.8516025	True	261097.0	0.0	0.0	True
4	0.0003_32_32	3e-05_32_64	0.8009343	0.8188734	0.763385	0.834905	0.7856924999999999	0.84931	True	243240.5	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.8009343	0.8000647	0.763385	0.834905	0.7634	0.835805	True	513787.5	0.285668	0.571336	False
6	0.0003_32_32	3e-05_8_8	0.8009343	0.8108624	0.763385	0.834905	0.7743975	0.8449025	True	351276.5	0.0	0.0	True
7	0.0003_32_64	0.0003_8_16	0.7626487999999999	0.7977571	0.7219949999999999	0.8020025000000001	0.7605925	0.8337399999999999	True	107383.0	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.7626487999999999	0.8172798	0.7219949999999999	0.8020025000000001	0.781295	0.8522	True	23236.5	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.7626487999999999	0.8176915	0.7219949999999999	0.8020025000000001	0.7789975	0.8516025	True	23338.0	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.7626487999999999	0.8188734	0.7219949999999999	0.8020025000000001	0.7856924999999999	0.84931	True	18382.5	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.7626487999999999	0.8000647	0.7219949999999999	0.8020025000000001	0.7634	0.835805	True	90094.5	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.7626487999999999	0.8108624	0.7219949999999999	0.8020025000000001	0.7743975	0.8449025	True	42322.5	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.7977571	0.8172798	0.7605925	0.8337399999999999	0.781295	0.8522	True	226176.0	0.0	0.0	True
14	0.0003_8_16	3e-05_32_32	0.7977571	0.8176915	0.7605925	0.8337399999999999	0.7789975	0.8516025	True	218364.0	0.0	0.0	True
15	0.0003_8_16	3e-05_32_64	0.7977571	0.8188734	0.7605925	0.8337399999999999	0.7856924999999999	0.84931	True	200723.5	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.7977571	0.8000647	0.7605925	0.8337399999999999	0.7634	0.835805	True	463803.5	0.005062	0.02531	True
17	0.0003_8_16	3e-05_8_8	0.7977571	0.8108624	0.7605925	0.8337399999999999	0.7743975	0.8449025	True	302953.0	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.8172798	0.8176915	0.781295	0.8522	0.7789975	0.8516025	True	488144.0	0.358568	0.571336	False
19	0.0003_8_8	3e-05_32_64	0.8172798	0.8188734	0.781295	0.8522	0.7856924999999999	0.84931	True	470892.0	0.02419	0.09676	False
20	0.0003_8_8	3e-05_8_16	0.8172798	0.8000647	0.781295	0.8522	0.7634	0.835805	True	749633.5	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.8172798	0.8108624	0.781295	0.8522	0.7743975	0.8449025	True	593828.0	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.8176915	0.8188734	0.7789975	0.8516025	0.7856924999999999	0.84931	True	482862.0	0.184463	0.5533889999999999	False
23	3e-05_32_32	3e-05_8_16	0.8176915	0.8000647	0.7789975	0.8516025	0.7634	0.835805	True	758452.5	0.0	0.0	True
24	3e-05_32_32	3e-05_8_8	0.8176915	0.8108624	0.7789975	0.8516025	0.7743975	0.8449025	True	606121.0	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.8188734	0.8000647	0.7856924999999999	0.84931	0.7634	0.835805	True	776636.5	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.8188734	0.8108624	0.7856924999999999	0.84931	0.7743975	0.8449025	True	624294.0	0.0	0.0	True
27	3e-05_8_16	3e-05_8_8	0.8000647	0.8108624	0.7634	0.835805	0.7743975	0.8449025	True	331800.0	0.0	0.0	True
