	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.7916388	0.7412564	0.738	0.84531	0.6875975	0.79191	True	908926.5	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.7916388	0.8074987	0.738	0.84531	0.7510975	0.8566275	True	334745.0	0.0	0.0	True
2	0.0003_32_32	0.0003_8_8	0.7916388	0.7961347000000001	0.738	0.84531	0.7428725	0.8510074999999999	True	454886.5	0.000477	0.002385	True
3	0.0003_32_32	3e-05_32_32	0.7916388	0.793712	0.738	0.84531	0.7405575000000001	0.84052	True	475087.5	0.053706	0.16111799999999998	False
4	0.0003_32_32	3e-05_32_64	0.7916388	0.8134446000000001	0.738	0.84531	0.7632975	0.8588	True	272165.0	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.7916388	0.7821274	0.738	0.84531	0.73058	0.8360025	True	602833.5	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.7916388	0.7899484999999999	0.738	0.84531	0.7370825	0.838415	True	514992.0	0.245662	0.245662	False
7	0.0003_32_64	0.0003_8_16	0.7412564	0.8074987	0.6875975	0.79191	0.7510975	0.8566275	True	42177.0	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.7412564	0.7961347000000001	0.6875975	0.79191	0.7428725	0.8510074999999999	True	76245.0	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.7412564	0.793712	0.6875975	0.79191	0.7405575000000001	0.84052	True	75454.0	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.7412564	0.8134446000000001	0.6875975	0.79191	0.7632975	0.8588	True	24176.0	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.7412564	0.7821274	0.6875975	0.79191	0.73058	0.8360025	True	138946.5	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.7412564	0.7899484999999999	0.6875975	0.79191	0.7370825	0.838415	True	96250.5	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.8074987	0.7961347000000001	0.7510975	0.8566275	0.7428725	0.8510074999999999	True	619818.0	0.0	0.0	True
14	0.0003_8_16	3e-05_32_32	0.8074987	0.793712	0.7510975	0.8566275	0.7405575000000001	0.84052	True	649995.5	0.0	0.0	True
15	0.0003_8_16	3e-05_32_64	0.8074987	0.8134446000000001	0.7510975	0.8566275	0.7632975	0.8588	True	437110.5	1e-06	7e-06	True
16	0.0003_8_16	3e-05_8_16	0.8074987	0.7821274	0.7510975	0.8566275	0.73058	0.8360025	True	751557.0	0.0	0.0	True
17	0.0003_8_16	3e-05_8_8	0.8074987	0.7899484999999999	0.7510975	0.8566275	0.7370825	0.838415	True	682223.5	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.7961347000000001	0.793712	0.7428725	0.8510074999999999	0.7405575000000001	0.84052	True	521957.5	0.089062	0.178124	False
19	0.0003_8_8	3e-05_32_64	0.7961347000000001	0.8134446000000001	0.7428725	0.8510074999999999	0.7632975	0.8588	True	316879.5	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.7961347000000001	0.7821274	0.7428725	0.8510074999999999	0.73058	0.8360025	True	643529.5	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.7961347000000001	0.7899484999999999	0.7428725	0.8510074999999999	0.7370825	0.838415	True	560326.5	3e-06	1.8e-05	True
22	3e-05_32_32	3e-05_32_64	0.793712	0.8134446000000001	0.7405575000000001	0.84052	0.7632975	0.8588	True	283142.0	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.793712	0.7821274	0.7405575000000001	0.84052	0.73058	0.8360025	True	630792.5	0.0	0.0	True
24	3e-05_32_32	3e-05_8_8	0.793712	0.7899484999999999	0.7405575000000001	0.84052	0.7370825	0.838415	True	540732.0	0.001609	0.006436	True
25	3e-05_32_64	3e-05_8_16	0.8134446000000001	0.7821274	0.7632975	0.8588	0.73058	0.8360025	True	808168.5	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.8134446000000001	0.7899484999999999	0.7632975	0.8588	0.7370825	0.838415	True	745587.5	0.0	0.0	True
27	3e-05_8_16	3e-05_8_8	0.7821274	0.7899484999999999	0.73058	0.8360025	0.7370825	0.838415	True	410660.5	0.0	0.0	True
