	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.8122964	0.7506942	0.7740825	0.8494	0.71	0.79152	True	985722.5	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.8122964	0.8204944000000001	0.7740825	0.8494	0.78349	0.8575	True	381800.5	0.0	0.0	True
2	0.0003_32_32	0.0003_8_8	0.8122964	0.8238217	0.7740825	0.8494	0.7844949999999999	0.85851	True	334770.5	0.0	0.0	True
3	0.0003_32_32	3e-05_32_32	0.8122964	0.82469	0.7740825	0.8494	0.7884924999999999	0.8604	True	326213.0	0.0	0.0	True
4	0.0003_32_32	3e-05_32_64	0.8122964	0.8293539	0.7740825	0.8494	0.7956975	0.8625025000000001	True	257151.0	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.8122964	0.8213706	0.7740825	0.8494	0.784	0.8581025	True	367436.5	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.8122964	0.817231	0.7740825	0.8494	0.7797975	0.8520374999999999	True	427668.0	0.0	0.0	True
7	0.0003_32_64	0.0003_8_16	0.7506942	0.8204944000000001	0.71	0.79152	0.78349	0.8575	True	5937.0	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.7506942	0.8238217	0.71	0.79152	0.7844949999999999	0.85851	True	5019.5	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.7506942	0.82469	0.71	0.79152	0.7884924999999999	0.8604	True	3734.5	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.7506942	0.8293539	0.71	0.79152	0.7956975	0.8625025000000001	True	1211.5	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.7506942	0.8213706	0.71	0.79152	0.784	0.8581025	True	5313.0	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.7506942	0.817231	0.71	0.79152	0.7797975	0.8520374999999999	True	7618.5	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.8204944000000001	0.8238217	0.78349	0.8575	0.7844949999999999	0.85851	True	447077.0	4.2e-05	0.000252	True
14	0.0003_8_16	3e-05_32_32	0.8204944000000001	0.82469	0.78349	0.8575	0.7884924999999999	0.8604	True	437497.5	1e-06	8e-06	True
15	0.0003_8_16	3e-05_32_64	0.8204944000000001	0.8293539	0.78349	0.8575	0.7956975	0.8625025000000001	True	366667.5	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.8204944000000001	0.8213706	0.78349	0.8575	0.784	0.8581025	True	486920.5	0.311134	0.622268	False
17	0.0003_8_16	3e-05_8_8	0.8204944000000001	0.817231	0.78349	0.8575	0.7797975	0.8520374999999999	True	549077.0	0.000144	0.000576	True
18	0.0003_8_8	3e-05_32_32	0.8238217	0.82469	0.7844949999999999	0.85851	0.7884924999999999	0.8604	True	490281.5	0.45171	0.622268	False
19	0.0003_8_8	3e-05_32_64	0.8238217	0.8293539	0.7844949999999999	0.85851	0.7956975	0.8625025000000001	True	422561.5	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.8238217	0.8213706	0.7844949999999999	0.85851	0.784	0.8581025	True	540657.0	0.001641	0.004923	True
21	0.0003_8_8	3e-05_8_8	0.8238217	0.817231	0.7844949999999999	0.85851	0.7797975	0.8520374999999999	True	600955.0	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.82469	0.8293539	0.7884924999999999	0.8604	0.7956975	0.8625025000000001	True	433192.0	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.82469	0.8213706	0.7884924999999999	0.8604	0.784	0.8581025	True	550397.0	9.5e-05	0.00047500000000000005	True
24	3e-05_32_32	3e-05_8_8	0.82469	0.817231	0.7884924999999999	0.8604	0.7797975	0.8520374999999999	True	610174.0	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.8293539	0.8213706	0.7956975	0.8625025000000001	0.784	0.8581025	True	622416.5	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.8293539	0.817231	0.7956975	0.8625025000000001	0.7797975	0.8520374999999999	True	682525.0	0.0	0.0	True
27	3e-05_8_16	3e-05_8_8	0.8213706	0.817231	0.784	0.8581025	0.7797975	0.8520374999999999	True	563636.5	1e-06	8e-06	True
