	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.709437	0.7265253	0.6203449999999999	0.8017	0.6408925	0.8048025	True	384329.0	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.709437	0.6778549	0.6203449999999999	0.8017	0.59789	0.7571025	True	695936.5	0.0	0.0	True
2	0.0003_32_32	0.0003_8_8	0.709437	0.6994541999999999	0.6203449999999999	0.8017	0.620385	0.7778	True	563219.0	1e-06	2e-06	True
3	0.0003_32_32	3e-05_32_32	0.709437	0.6675916	0.6203449999999999	0.8017	0.5804	0.747905	True	748927.0	0.0	0.0	True
4	0.0003_32_32	3e-05_32_64	0.709437	0.6410842999999999	0.6203449999999999	0.8017	0.5603	0.7244725	True	865123.5	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.709437	0.6376586	0.6203449999999999	0.8017	0.556965	0.7171075	True	882684.0	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.709437	0.6166415	0.6203449999999999	0.8017	0.5327725000000001	0.6983050000000001	True	931980.0	0.0	0.0	True
7	0.0003_32_64	0.0003_8_16	0.7265253	0.6778549	0.6408925	0.8048025	0.59789	0.7571025	True	800515.0	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.7265253	0.6994541999999999	0.6408925	0.8048025	0.620385	0.7778	True	683080.0	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.7265253	0.6675916	0.6408925	0.8048025	0.5804	0.747905	True	843163.0	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.7265253	0.6410842999999999	0.6408925	0.8048025	0.5603	0.7244725	True	926123.5	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.7265253	0.6376586	0.6408925	0.8048025	0.556965	0.7171075	True	938230.5	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.7265253	0.6166415	0.6408925	0.8048025	0.5327725000000001	0.6983050000000001	True	968042.5	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.6778549	0.6994541999999999	0.59789	0.7571025	0.620385	0.7778	True	354842.5	0.0	0.0	True
14	0.0003_8_16	3e-05_32_32	0.6778549	0.6675916	0.59789	0.7571025	0.5804	0.747905	True	565123.5	0.0	0.0	True
15	0.0003_8_16	3e-05_32_64	0.6778549	0.6410842999999999	0.59789	0.7571025	0.5603	0.7244725	True	731923.0	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.6778549	0.6376586	0.59789	0.7571025	0.556965	0.7171075	True	758084.5	0.0	0.0	True
17	0.0003_8_16	3e-05_8_8	0.6778549	0.6166415	0.59789	0.7571025	0.5327725000000001	0.6983050000000001	True	845376.0	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.6994541999999999	0.6675916	0.620385	0.7778	0.5804	0.747905	True	704272.0	0.0	0.0	True
19	0.0003_8_8	3e-05_32_64	0.6994541999999999	0.6410842999999999	0.620385	0.7778	0.5603	0.7244725	True	839764.5	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.6994541999999999	0.6376586	0.620385	0.7778	0.556965	0.7171075	True	861166.5	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.6994541999999999	0.6166415	0.620385	0.7778	0.5327725000000001	0.6983050000000001	True	919477.5	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.6675916	0.6410842999999999	0.5804	0.747905	0.5603	0.7244725	True	673698.0	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.6675916	0.6376586	0.5804	0.747905	0.556965	0.7171075	True	699972.5	0.0	0.0	True
24	3e-05_32_32	3e-05_8_8	0.6675916	0.6166415	0.5804	0.747905	0.5327725000000001	0.6983050000000001	True	798737.0	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.6410842999999999	0.6376586	0.5603	0.7244725	0.556965	0.7171075	True	523860.5	0.064639	0.064639	False
26	3e-05_32_64	3e-05_8_8	0.6410842999999999	0.6166415	0.5603	0.7244725	0.5327725000000001	0.6983050000000001	True	652051.5	0.0	0.0	True
27	3e-05_8_16	3e-05_8_8	0.6376586	0.6166415	0.556965	0.7171075	0.5327725000000001	0.6983050000000001	True	634559.5	0.0	0.0	True
