	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.6935228999999999	0.6489472999999999	0.6129	0.7725224999999999	0.549375	0.7417775	True	761903.5	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.6935228999999999	0.6873129	0.6129	0.7725224999999999	0.6062875	0.7679	True	544825.5	0.000518	0.001036	True
2	0.0003_32_32	0.0003_8_8	0.6935228999999999	0.7146693000000001	0.6129	0.7725224999999999	0.6254875	0.7952025	True	362571.5	0.0	0.0	True
3	0.0003_32_32	3e-05_32_32	0.6935228999999999	0.6642073000000001	0.6129	0.7725224999999999	0.561975	0.7608	True	675619.0	0.0	0.0	True
4	0.0003_32_32	3e-05_32_64	0.6935228999999999	0.7023614	0.6129	0.7725224999999999	0.61537	0.7914974999999999	True	446205.5	3.1e-05	9.300000000000001e-05	True
5	0.0003_32_32	3e-05_8_16	0.6935228999999999	0.6434975	0.6129	0.7725224999999999	0.5576975	0.733905	True	791202.5	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.6935228999999999	0.6198864	0.6129	0.7725224999999999	0.5302725	0.7099099999999999	True	877317.0	0.0	0.0	True
7	0.0003_32_64	0.0003_8_16	0.6489472999999999	0.6873129	0.549375	0.7417775	0.6062875	0.7679	True	269313.5	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.6489472999999999	0.7146693000000001	0.549375	0.7417775	0.6254875	0.7952025	True	150856.5	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.6489472999999999	0.6642073000000001	0.549375	0.7417775	0.561975	0.7608	True	406383.0	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.6489472999999999	0.7023614	0.549375	0.7417775	0.61537	0.7914974999999999	True	205348.0	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.6489472999999999	0.6434975	0.549375	0.7417775	0.5576975	0.733905	True	534420.0	0.007688	0.007688	True
12	0.0003_32_64	3e-05_8_8	0.6489472999999999	0.6198864	0.549375	0.7417775	0.5302725	0.7099099999999999	True	670751.0	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.6873129	0.7146693000000001	0.6062875	0.7679	0.6254875	0.7952025	True	321408.5	0.0	0.0	True
14	0.0003_8_16	3e-05_32_32	0.6873129	0.6642073000000001	0.6062875	0.7679	0.561975	0.7608	True	637656.5	0.0	0.0	True
15	0.0003_8_16	3e-05_32_64	0.6873129	0.7023614	0.6062875	0.7679	0.61537	0.7914974999999999	True	403176.0	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.6873129	0.6434975	0.6062875	0.7679	0.5576975	0.733905	True	762760.0	0.0	0.0	True
17	0.0003_8_16	3e-05_8_8	0.6873129	0.6198864	0.6062875	0.7679	0.5302725	0.7099099999999999	True	858058.0	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.7146693000000001	0.6642073000000001	0.6254875	0.7952025	0.561975	0.7608	True	782663.5	0.0	0.0	True
19	0.0003_8_8	3e-05_32_64	0.7146693000000001	0.7023614	0.6254875	0.7952025	0.61537	0.7914974999999999	True	580918.0	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.7146693000000001	0.6434975	0.6254875	0.7952025	0.5576975	0.733905	True	872868.0	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.7146693000000001	0.6198864	0.6254875	0.7952025	0.5302725	0.7099099999999999	True	929532.0	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.6642073000000001	0.7023614	0.561975	0.7608	0.61537	0.7914974999999999	True	283623.0	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.6642073000000001	0.6434975	0.561975	0.7608	0.5576975	0.733905	True	626804.0	0.0	0.0	True
24	3e-05_32_32	3e-05_8_8	0.6642073000000001	0.6198864	0.561975	0.7608	0.5302725	0.7099099999999999	True	746197.5	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.7023614	0.6434975	0.61537	0.7914974999999999	0.5576975	0.733905	True	821963.5	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.7023614	0.6198864	0.61537	0.7914974999999999	0.5302725	0.7099099999999999	True	896286.0	0.0	0.0	True
27	3e-05_8_16	3e-05_8_8	0.6434975	0.6198864	0.5576975	0.733905	0.5302725	0.7099099999999999	True	641526.5	0.0	0.0	True
