	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.6466725	0.6064031999999999	0.5590900000000001	0.7303	0.51449	0.6960899999999999	True	736236.0	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.6466725	0.6615405	0.5590900000000001	0.7303	0.5653675	0.752315	True	410210.5	0.0	0.0	True
2	0.0003_32_32	0.0003_8_8	0.6466725	0.6496959999999999	0.5590900000000001	0.7303	0.5633	0.7352175	True	479135.5	0.106154	0.209542	False
3	0.0003_32_32	3e-05_32_32	0.6466725	0.6097634000000001	0.5590900000000001	0.7303	0.5065875000000001	0.7045224999999999	True	711687.0	0.0	0.0	True
4	0.0003_32_32	3e-05_32_64	0.6466725	0.5935025	0.5590900000000001	0.7303	0.5	0.6859075	True	792588.5	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.6466725	0.5711432999999999	0.5590900000000001	0.7303	0.4765725	0.6640674999999999	True	875151.0	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.6466725	0.583822	0.5590900000000001	0.7303	0.4802925	0.677275	True	827204.0	0.0	0.0	True
7	0.0003_32_64	0.0003_8_16	0.6064031999999999	0.6615405	0.51449	0.6960899999999999	0.5653675	0.752315	True	210281.5	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.6064031999999999	0.6496959999999999	0.51449	0.6960899999999999	0.5633	0.7352175	True	248781.5	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.6064031999999999	0.6097634000000001	0.51449	0.6960899999999999	0.5065875000000001	0.7045224999999999	True	479052.5	0.104771	0.209542	False
10	0.0003_32_64	3e-05_32_64	0.6064031999999999	0.5935025	0.51449	0.6960899999999999	0.5	0.6859075	True	575986.5	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.6064031999999999	0.5711432999999999	0.51449	0.6960899999999999	0.4765725	0.6640674999999999	True	699051.0	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.6064031999999999	0.583822	0.51449	0.6960899999999999	0.4802925	0.677275	True	628314.0	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.6615405	0.6496959999999999	0.5653675	0.752315	0.5633	0.7352175	True	570440.0	0.0	0.0	True
14	0.0003_8_16	3e-05_32_32	0.6615405	0.6097634000000001	0.5653675	0.752315	0.5065875000000001	0.7045224999999999	True	768315.0	0.0	0.0	True
15	0.0003_8_16	3e-05_32_64	0.6615405	0.5935025	0.5653675	0.752315	0.5	0.6859075	True	835873.5	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.6615405	0.5711432999999999	0.5653675	0.752315	0.4765725	0.6640674999999999	True	901626.0	0.0	0.0	True
17	0.0003_8_16	3e-05_8_8	0.6615405	0.583822	0.5653675	0.752315	0.4802925	0.677275	True	863158.5	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.6496959999999999	0.6097634000000001	0.5633	0.7352175	0.5065875000000001	0.7045224999999999	True	727055.5	0.0	0.0	True
19	0.0003_8_8	3e-05_32_64	0.6496959999999999	0.5935025	0.5633	0.7352175	0.5	0.6859075	True	805083.0	0.0	0.0	True
20	0.0003_8_8	3e-05_8_16	0.6496959999999999	0.5711432999999999	0.5633	0.7352175	0.4765725	0.6640674999999999	True	882979.0	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.6496959999999999	0.583822	0.5633	0.7352175	0.4802925	0.677275	True	837544.0	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.6097634000000001	0.5935025	0.5065875000000001	0.7045224999999999	0.5	0.6859075	True	594018.0	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.6097634000000001	0.5711432999999999	0.5065875000000001	0.7045224999999999	0.4765725	0.6640674999999999	True	711625.0	0.0	0.0	True
24	3e-05_32_32	3e-05_8_8	0.6097634000000001	0.583822	0.5065875000000001	0.7045224999999999	0.4802925	0.677275	True	643949.0	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.5935025	0.5711432999999999	0.5	0.6859075	0.4765725	0.6640674999999999	True	627634.0	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.5935025	0.583822	0.5	0.6859075	0.4802925	0.677275	True	554359.0	2.6e-05	7.8e-05	True
27	3e-05_8_16	3e-05_8_8	0.5711432999999999	0.583822	0.4765725	0.6640674999999999	0.4802925	0.677275	True	426966.0	0.0	0.0	True
